127.0.0.1 - - [03/Sep/2015:06:08:53 -0500] "GET / HTTP/1.1" 404 1004
0:0:0:0:0:0:0:1 - - [03/Sep/2015:06:08:54 -0500] "GET /mvc_simple/ HTTP/1.1" 200 27650
0:0:0:0:0:0:0:1 - - [03/Sep/2015:06:08:54 -0500] "GET /mvc_simple/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [03/Sep/2015:06:08:54 -0500] "GET /mvc_simple/resources/img/portfolio/minions_022.gif HTTP/1.1" 200 700003
0:0:0:0:0:0:0:1 - - [03/Sep/2015:06:08:54 -0500] "GET /mvc_simple/resources/img/portfolio/entretenimiento.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Sep/2015:06:08:54 -0500] "GET /mvc_simple/resources/img/portfolio/airelibre.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Sep/2015:06:08:54 -0500] "GET /mvc_simple/resources/img/portfolio/cursos2.jpg HTTP/1.1" 200 370103
0:0:0:0:0:0:0:1 - - [03/Sep/2015:06:08:54 -0500] "GET /mvc_simple/resources/img/portfolio/arte.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Sep/2015:06:08:54 -0500] "GET /mvc_simple/resources/img/portfolio/deporte.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Sep/2015:06:08:54 -0500] "GET /mvc_simple/resources/img/portfolio/humanitario.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Sep/2015:06:08:54 -0500] "GET /mvc_simple/resources/img/portfolio/facebook.png HTTP/1.1" 200 1844
0:0:0:0:0:0:0:1 - - [03/Sep/2015:06:08:54 -0500] "GET /mvc_simple/resources/img/portfolio/Google_Plus.png HTTP/1.1" 200 3177
0:0:0:0:0:0:0:1 - - [03/Sep/2015:06:08:54 -0500] "GET /mvc_simple/resources/img/portfolio/twitter.png HTTP/1.1" 200 2222
0:0:0:0:0:0:0:1 - - [03/Sep/2015:06:08:55 -0500] "GET /mvc_simple/resources/img/portfolio/whatsapp.png HTTP/1.1" 200 3351
0:0:0:0:0:0:0:1 - - [03/Sep/2015:06:08:55 -0500] "GET /mvc_simple/resources/img/portfolio/linkedin.png HTTP/1.1" 200 2026
0:0:0:0:0:0:0:1 - - [03/Sep/2015:06:09:29 -0500] "GET /mvc_simple/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Sep/2015:06:09:30 -0500] "GET /mvc_simple/resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Sep/2015:06:09:30 -0500] "GET /mvc_simple/resources/css/freelancer.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Sep/2015:06:09:30 -0500] "GET /mvc_simple/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [03/Sep/2015:06:09:30 -0500] "GET /mvc_simple/resources/img/portfolio/minions_022.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Sep/2015:06:09:30 -0500] "GET /mvc_simple/resources/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Sep/2015:06:09:30 -0500] "GET /mvc_simple/resources/js/jquery.js HTTP/1.1" 304 -
